,parents,has_nurs,form,children,housing,finance,social,health
258,usual,proper,2,1,critical,convenient,problematic,1
259,usual,proper,2,1,critical,convenient,problematic,2
260,usual,proper,2,1,critical,convenient,problematic,3
261,usual,proper,2,1,critical,inconv,nonprob,1
262,usual,proper,2,1,critical,inconv,nonprob,2
263,usual,proper,2,1,critical,inconv,nonprob,3
264,usual,proper,2,1,critical,inconv,slightly_prob,1
265,usual,proper,2,1,critical,inconv,slightly_prob,2
266,usual,proper,2,1,critical,inconv,slightly_prob,3
267,usual,proper,2,1,critical,inconv,problematic,1
268,usual,proper,2,1,critical,inconv,problematic,2
269,usual,proper,2,1,critical,inconv,problematic,3
270,usual,proper,2,2,convenient,convenient,nonprob,1
271,usual,proper,2,2,convenient,convenient,nonprob,2
272,usual,proper,2,2,convenient,convenient,nonprob,3
273,usual,proper,2,2,convenient,convenient,slightly_prob,1
274,usual,proper,2,2,convenient,convenient,slightly_prob,2
275,usual,proper,2,2,convenient,convenient,slightly_prob,3
276,usual,proper,2,2,convenient,convenient,problematic,1
277,usual,proper,2,2,convenient,convenient,problematic,2
278,usual,proper,2,2,convenient,convenient,problematic,3
279,usual,proper,2,2,convenient,inconv,nonprob,1
280,usual,proper,2,2,convenient,inconv,nonprob,2
281,usual,proper,2,2,convenient,inconv,nonprob,3
282,usual,proper,2,2,convenient,inconv,slightly_prob,1
283,usual,proper,2,2,convenient,inconv,slightly_prob,2
284,usual,proper,2,2,convenient,inconv,slightly_prob,3
285,usual,proper,2,2,convenient,inconv,problematic,1
286,usual,proper,2,2,convenient,inconv,problematic,2
287,usual,proper,2,2,convenient,inconv,problematic,3
288,usual,proper,2,2,less_conv,convenient,nonprob,1
289,usual,proper,2,2,less_conv,convenient,nonprob,2
290,usual,proper,2,2,less_conv,convenient,nonprob,3
291,usual,proper,2,2,less_conv,convenient,slightly_prob,1
292,usual,proper,2,2,less_conv,convenient,slightly_prob,2
293,usual,proper,2,2,less_conv,convenient,slightly_prob,3
294,usual,proper,2,2,less_conv,convenient,problematic,1
295,usual,proper,2,2,less_conv,convenient,problematic,2
296,usual,proper,2,2,less_conv,convenient,problematic,3
297,usual,proper,2,2,less_conv,inconv,nonprob,1
298,usual,proper,2,2,less_conv,inconv,nonprob,2
299,usual,proper,2,2,less_conv,inconv,nonprob,3
300,usual,proper,2,2,less_conv,inconv,slightly_prob,1
301,usual,proper,2,2,less_conv,inconv,slightly_prob,2
302,usual,proper,2,2,less_conv,inconv,slightly_prob,3
303,usual,proper,2,2,less_conv,inconv,problematic,1
304,usual,proper,2,2,less_conv,inconv,problematic,2
305,usual,proper,2,2,less_conv,inconv,problematic,3
306,usual,proper,2,2,critical,convenient,nonprob,1
307,usual,proper,2,2,critical,convenient,nonprob,2
308,usual,proper,2,2,critical,convenient,nonprob,3
309,usual,proper,2,2,critical,convenient,slightly_prob,1
310,usual,proper,2,2,critical,convenient,slightly_prob,2
311,usual,proper,2,2,critical,convenient,slightly_prob,3
312,usual,proper,2,2,critical,convenient,problematic,1
313,usual,proper,2,2,critical,convenient,problematic,2
314,usual,proper,2,2,critical,convenient,problematic,3
315,usual,proper,2,2,critical,inconv,nonprob,1
316,usual,proper,2,2,critical,inconv,nonprob,2
317,usual,proper,2,2,critical,inconv,nonprob,3
318,usual,proper,2,2,critical,inconv,slightly_prob,1
319,usual,proper,2,2,critical,inconv,slightly_prob,2
320,usual,proper,2,2,critical,inconv,slightly_prob,3
321,usual,proper,2,2,critical,inconv,problematic,1
322,usual,proper,2,2,critical,inconv,problematic,2
323,usual,proper,2,2,critical,inconv,problematic,3
324,usual,proper,2,3,convenient,convenient,nonprob,1
325,usual,proper,2,3,convenient,convenient,nonprob,2
326,usual,proper,2,3,convenient,convenient,nonprob,3
327,usual,proper,2,3,convenient,convenient,slightly_prob,1
328,usual,proper,2,3,convenient,convenient,slightly_prob,2
329,usual,proper,2,3,convenient,convenient,slightly_prob,3
330,usual,proper,2,3,convenient,convenient,problematic,1
331,usual,proper,2,3,convenient,convenient,problematic,2
332,usual,proper,2,3,convenient,convenient,problematic,3
333,usual,proper,2,3,convenient,inconv,nonprob,1
334,usual,proper,2,3,convenient,inconv,nonprob,2
335,usual,proper,2,3,convenient,inconv,nonprob,3
336,usual,proper,2,3,convenient,inconv,slightly_prob,1
337,usual,proper,2,3,convenient,inconv,slightly_prob,2
338,usual,proper,2,3,convenient,inconv,slightly_prob,3
339,usual,proper,2,3,convenient,inconv,problematic,1
340,usual,proper,2,3,convenient,inconv,problematic,2
341,usual,proper,2,3,convenient,inconv,problematic,3
342,usual,proper,2,3,less_conv,convenient,nonprob,1
343,usual,proper,2,3,less_conv,convenient,nonprob,2
344,usual,proper,2,3,less_conv,convenient,nonprob,3
345,usual,proper,2,3,less_conv,convenient,slightly_prob,1
346,usual,proper,2,3,less_conv,convenient,slightly_prob,2
347,usual,proper,2,3,less_conv,convenient,slightly_prob,3
348,usual,proper,2,3,less_conv,convenient,problematic,1
349,usual,proper,2,3,less_conv,convenient,problematic,2
350,usual,proper,2,3,less_conv,convenient,problematic,3
351,usual,proper,2,3,less_conv,inconv,nonprob,1
352,usual,proper,2,3,less_conv,inconv,nonprob,2
353,usual,proper,2,3,less_conv,inconv,nonprob,3
354,usual,proper,2,3,less_conv,inconv,slightly_prob,1
355,usual,proper,2,3,less_conv,inconv,slightly_prob,2
356,usual,proper,2,3,less_conv,inconv,slightly_prob,3
357,usual,proper,2,3,less_conv,inconv,problematic,1
358,usual,proper,2,3,less_conv,inconv,problematic,2
359,usual,proper,2,3,less_conv,inconv,problematic,3
360,usual,proper,2,3,critical,convenient,nonprob,1
361,usual,proper,2,3,critical,convenient,nonprob,2
362,usual,proper,2,3,critical,convenient,nonprob,3
363,usual,proper,2,3,critical,convenient,slightly_prob,1
364,usual,proper,2,3,critical,convenient,slightly_prob,2
365,usual,proper,2,3,critical,convenient,slightly_prob,3
366,usual,proper,2,3,critical,convenient,problematic,1
367,usual,proper,2,3,critical,convenient,problematic,2
368,usual,proper,2,3,critical,convenient,problematic,3
369,usual,proper,2,3,critical,inconv,nonprob,1
370,usual,proper,2,3,critical,inconv,nonprob,2
371,usual,proper,2,3,critical,inconv,nonprob,3
372,usual,proper,2,3,critical,inconv,slightly_prob,1
373,usual,proper,2,3,critical,inconv,slightly_prob,2
374,usual,proper,2,3,critical,inconv,slightly_prob,3
375,usual,proper,2,3,critical,inconv,problematic,1
376,usual,proper,2,3,critical,inconv,problematic,2
377,usual,proper,2,3,critical,inconv,problematic,3
378,usual,proper,2,4,convenient,convenient,nonprob,1
379,usual,proper,2,4,convenient,convenient,nonprob,2
380,usual,proper,2,4,convenient,convenient,nonprob,3
381,usual,proper,2,4,convenient,convenient,slightly_prob,1
382,usual,proper,2,4,convenient,convenient,slightly_prob,2
383,usual,proper,2,4,convenient,convenient,slightly_prob,3
384,usual,proper,2,4,convenient,convenient,problematic,1
385,usual,proper,2,4,convenient,convenient,problematic,2
386,usual,proper,2,4,convenient,convenient,problematic,3
387,usual,proper,2,4,convenient,inconv,nonprob,1
388,usual,proper,2,4,convenient,inconv,nonprob,2
389,usual,proper,2,4,convenient,inconv,nonprob,3
390,usual,proper,2,4,convenient,inconv,slightly_prob,1
391,usual,proper,2,4,convenient,inconv,slightly_prob,2
392,usual,proper,2,4,convenient,inconv,slightly_prob,3
393,usual,proper,2,4,convenient,inconv,problematic,1
394,usual,proper,2,4,convenient,inconv,problematic,2
395,usual,proper,2,4,convenient,inconv,problematic,3
396,usual,proper,2,4,less_conv,convenient,nonprob,1
397,usual,proper,2,4,less_conv,convenient,nonprob,2
398,usual,proper,2,4,less_conv,convenient,nonprob,3
399,usual,proper,2,4,less_conv,convenient,slightly_prob,1
400,usual,proper,2,4,less_conv,convenient,slightly_prob,2
401,usual,proper,2,4,less_conv,convenient,slightly_prob,3
402,usual,proper,2,4,less_conv,convenient,problematic,1
403,usual,proper,2,4,less_conv,convenient,problematic,2
404,usual,proper,2,4,less_conv,convenient,problematic,3
405,usual,proper,2,4,less_conv,inconv,nonprob,1
406,usual,proper,2,4,less_conv,inconv,nonprob,2
407,usual,proper,2,4,less_conv,inconv,nonprob,3
408,usual,proper,2,4,less_conv,inconv,slightly_prob,1
409,usual,proper,2,4,less_conv,inconv,slightly_prob,2
410,usual,proper,2,4,less_conv,inconv,slightly_prob,3
411,usual,proper,2,4,less_conv,inconv,problematic,1
412,usual,proper,2,4,less_conv,inconv,problematic,2
413,usual,proper,2,4,less_conv,inconv,problematic,3
414,usual,proper,2,4,critical,convenient,nonprob,1
415,usual,proper,2,4,critical,convenient,nonprob,2
416,usual,proper,2,4,critical,convenient,nonprob,3
417,usual,proper,2,4,critical,convenient,slightly_prob,1
418,usual,proper,2,4,critical,convenient,slightly_prob,2
419,usual,proper,2,4,critical,convenient,slightly_prob,3
420,usual,proper,2,4,critical,convenient,problematic,1
421,usual,proper,2,4,critical,convenient,problematic,2
422,usual,proper,2,4,critical,convenient,problematic,3
423,usual,proper,2,4,critical,inconv,nonprob,1
424,usual,proper,2,4,critical,inconv,nonprob,2
425,usual,proper,2,4,critical,inconv,nonprob,3
426,usual,proper,2,4,critical,inconv,slightly_prob,1
427,usual,proper,2,4,critical,inconv,slightly_prob,2
428,usual,proper,2,4,critical,inconv,slightly_prob,3
429,usual,proper,2,4,critical,inconv,problematic,1
430,usual,proper,2,4,critical,inconv,problematic,2
431,usual,proper,2,4,critical,inconv,problematic,3
432,usual,proper,3,1,convenient,convenient,nonprob,1
433,usual,proper,3,1,convenient,convenient,nonprob,2
434,usual,proper,3,1,convenient,convenient,nonprob,3
435,usual,proper,3,1,convenient,convenient,slightly_prob,1
436,usual,proper,3,1,convenient,convenient,slightly_prob,2
437,usual,proper,3,1,convenient,convenient,slightly_prob,3
438,usual,proper,3,1,convenient,convenient,problematic,1
439,usual,proper,3,1,convenient,convenient,problematic,2
440,usual,proper,3,1,convenient,convenient,problematic,3
441,usual,proper,3,1,convenient,inconv,nonprob,1
442,usual,proper,3,1,convenient,inconv,nonprob,2
443,usual,proper,3,1,convenient,inconv,nonprob,3
444,usual,proper,3,1,convenient,inconv,slightly_prob,1
445,usual,proper,3,1,convenient,inconv,slightly_prob,2
446,usual,proper,3,1,convenient,inconv,slightly_prob,3
447,usual,proper,3,1,convenient,inconv,problematic,1
448,usual,proper,3,1,convenient,inconv,problematic,2
449,usual,proper,3,1,convenient,inconv,problematic,3
450,usual,proper,3,1,less_conv,convenient,nonprob,1
451,usual,proper,3,1,less_conv,convenient,nonprob,2
452,usual,proper,3,1,less_conv,convenient,nonprob,3
453,usual,proper,3,1,less_conv,convenient,slightly_prob,1
454,usual,proper,3,1,less_conv,convenient,slightly_prob,2
455,usual,proper,3,1,less_conv,convenient,slightly_prob,3
456,usual,proper,3,1,less_conv,convenient,problematic,1
457,usual,proper,3,1,less_conv,convenient,problematic,2
458,usual,proper,3,1,less_conv,convenient,problematic,3
459,usual,proper,3,1,less_conv,inconv,nonprob,1
460,usual,proper,3,1,less_conv,inconv,nonprob,2
461,usual,proper,3,1,less_conv,inconv,nonprob,3
462,usual,proper,3,1,less_conv,inconv,slightly_prob,1
463,usual,proper,3,1,less_conv,inconv,slightly_prob,2
464,usual,proper,3,1,less_conv,inconv,slightly_prob,3
465,usual,proper,3,1,less_conv,inconv,problematic,1
466,usual,proper,3,1,less_conv,inconv,problematic,2
467,usual,proper,3,1,less_conv,inconv,problematic,3
468,usual,proper,3,1,critical,convenient,nonprob,1
469,usual,proper,3,1,critical,convenient,nonprob,2
470,usual,proper,3,1,critical,convenient,nonprob,3
471,usual,proper,3,1,critical,convenient,slightly_prob,1
472,usual,proper,3,1,critical,convenient,slightly_prob,2
473,usual,proper,3,1,critical,convenient,slightly_prob,3
474,usual,proper,3,1,critical,convenient,problematic,1
475,usual,proper,3,1,critical,convenient,problematic,2
476,usual,proper,3,1,critical,convenient,problematic,3
477,usual,proper,3,1,critical,inconv,nonprob,1
478,usual,proper,3,1,critical,inconv,nonprob,2
479,usual,proper,3,1,critical,inconv,nonprob,3
480,usual,proper,3,1,critical,inconv,slightly_prob,1
481,usual,proper,3,1,critical,inconv,slightly_prob,2
482,usual,proper,3,1,critical,inconv,slightly_prob,3
483,usual,proper,3,1,critical,inconv,problematic,1
484,usual,proper,3,1,critical,inconv,problematic,2
485,usual,proper,3,1,critical,inconv,problematic,3
486,usual,proper,3,2,convenient,convenient,nonprob,1
487,usual,proper,3,2,convenient,convenient,nonprob,2
488,usual,proper,3,2,convenient,convenient,nonprob,3
489,usual,proper,3,2,convenient,convenient,slightly_prob,1
490,usual,proper,3,2,convenient,convenient,slightly_prob,2
491,usual,proper,3,2,convenient,convenient,slightly_prob,3
492,usual,proper,3,2,convenient,convenient,problematic,1
493,usual,proper,3,2,convenient,convenient,problematic,2
494,usual,proper,3,2,convenient,convenient,problematic,3
495,usual,proper,3,2,convenient,inconv,nonprob,1
496,usual,proper,3,2,convenient,inconv,nonprob,2
497,usual,proper,3,2,convenient,inconv,nonprob,3
498,usual,proper,3,2,convenient,inconv,slightly_prob,1
499,usual,proper,3,2,convenient,inconv,slightly_prob,2
500,usual,proper,3,2,convenient,inconv,slightly_prob,3
501,usual,proper,3,2,convenient,inconv,problematic,1
502,usual,proper,3,2,convenient,inconv,problematic,2
503,usual,proper,3,2,convenient,inconv,problematic,3
504,usual,proper,3,2,less_conv,convenient,nonprob,1
505,usual,proper,3,2,less_conv,convenient,nonprob,2
506,usual,proper,3,2,less_conv,convenient,nonprob,3
507,usual,proper,3,2,less_conv,convenient,slightly_prob,1
508,usual,proper,3,2,less_conv,convenient,slightly_prob,2
509,usual,proper,3,2,less_conv,convenient,slightly_prob,3
